eval_id,trial_id,prompt_id,provider,model,model_version,temperature,max_tokens,response_larger,response_confidence,raw_response,latency_ms,timestamp,error
1,1,1,google,gemma-3-4b-it,NA,0,50,b,NA,top,2334,2026-03-11T03:16:14Z,NA
2,2,1,google,gemma-3-4b-it,NA,0,50,b,NA,top-right,2155,2026-03-11T03:16:16Z,NA
3,3,1,google,gemma-3-4b-it,NA,0,50,b,NA,top,1994,2026-03-11T03:16:18Z,NA
4,4,1,google,gemma-3-4b-it,NA,0,50,a,NA,bottom-left,2161,2026-03-11T03:16:20Z,NA
5,5,1,google,gemma-3-4b-it,NA,0,50,b,NA,right,1994,2026-03-11T03:16:22Z,NA
6,6,1,google,gemma-3-4b-it,NA,0,50,a,NA,bottom,2003,2026-03-11T03:16:24Z,NA
7,7,1,google,gemma-3-4b-it,NA,0,50,b,NA,right,1992,2026-03-11T03:16:26Z,NA
8,8,1,google,gemma-3-4b-it,NA,0,50,a,NA,left,1993,2026-03-11T03:16:28Z,NA
9,9,1,google,gemma-3-4b-it,NA,0,50,a,NA,bottom,1992,2026-03-11T03:16:30Z,NA
10,10,1,google,gemma-3-4b-it,NA,0,50,b,NA,right,1998,2026-03-11T03:16:32Z,NA
11,11,1,google,gemma-3-4b-it,NA,0,50,a,NA,left,1993,2026-03-11T03:16:34Z,NA
12,12,1,google,gemma-3-4b-it,NA,0,50,b,NA,top,1996,2026-03-11T03:16:36Z,NA
13,13,1,google,gemma-3-4b-it,NA,0,50,b,NA,top-right,2149,2026-03-11T03:16:38Z,NA
14,14,1,google,gemma-3-4b-it,NA,0,50,a,NA,left,1995,2026-03-11T03:16:40Z,NA
15,15,1,google,gemma-3-4b-it,NA,0,50,b,NA,top-right,2157,2026-03-11T03:16:42Z,NA
16,16,1,google,gemma-3-4b-it,NA,0,50,b,NA,right,1998,2026-03-11T03:16:44Z,NA
17,17,1,google,gemma-3-4b-it,NA,0,50,b,NA,right,1997,2026-03-11T03:16:46Z,NA
18,18,1,google,gemma-3-4b-it,NA,0,50,b,NA,right,2004,2026-03-11T03:16:49Z,NA
19,19,1,google,gemma-3-4b-it,NA,0,50,a,NA,bottom,1997,2026-03-11T03:16:51Z,NA
20,20,1,google,gemma-3-4b-it,NA,0,50,a,NA,left,1996,2026-03-11T03:16:53Z,NA
21,1,2,google,gemma-3-4b-it,NA,0,50,a,NA,bottom,2001,2026-03-11T03:16:55Z,NA
22,2,2,google,gemma-3-4b-it,NA,0,50,a,NA,bottom-left,2155,2026-03-11T03:16:57Z,NA
23,3,2,google,gemma-3-4b-it,NA,0,50,a,NA,bottom,1992,2026-03-11T03:16:59Z,NA
24,4,2,google,gemma-3-4b-it,NA,0,50,a,NA,bottom-left,2150,2026-03-11T03:17:01Z,NA
25,5,2,google,gemma-3-4b-it,NA,0,50,b,NA,right,1990,2026-03-11T03:17:03Z,NA
26,6,2,google,gemma-3-4b-it,NA,0,50,a,NA,bottom,1994,2026-03-11T03:17:05Z,NA
27,7,2,google,gemma-3-4b-it,NA,0,50,b,NA,right,1997,2026-03-11T03:17:07Z,NA
28,8,2,google,gemma-3-4b-it,NA,0,50,b,NA,right,2002,2026-03-11T03:17:09Z,NA
29,9,2,google,gemma-3-4b-it,NA,0,50,a,NA,bottom,1992,2026-03-11T03:17:11Z,NA
30,10,2,google,gemma-3-4b-it,NA,0,50,b,NA,right,1995,2026-03-11T03:17:13Z,NA
