eval_id,trial_id,prompt_id,provider,model,model_version,temperature,max_tokens,response_larger,response_confidence,raw_response,latency_ms,timestamp,error
1,1,1,openai,gpt-4o,NA,0,512,b,NA,lower-right,2582,2026-03-07T04:19:35Z,NA
2,2,1,openai,gpt-4o,NA,0,512,a,NA,upper-left,1860,2026-03-07T04:19:36Z,NA
3,3,1,openai,gpt-4o,NA,0,512,b,NA,right,2702,2026-03-07T04:19:37Z,NA
4,4,1,openai,gpt-4o,NA,0,512,a,NA,upper-left,4023,2026-03-07T04:19:38Z,NA
5,5,1,openai,gpt-4o,NA,0,512,equal,NA,equal,1494,2026-03-07T04:19:39Z,NA
6,6,1,openai,gpt-4o,NA,0,512,equal,NA,equal,2681,2026-03-07T04:19:40Z,NA
7,7,1,openai,gpt-4o,NA,0,512,a,NA,upper-left,3362,2026-03-07T04:19:41Z,NA
8,8,1,openai,gpt-4o,NA,0,512,a,NA,upper-left,2587,2026-03-07T04:19:42Z,NA
9,9,1,openai,gpt-4o,NA,0,512,b,NA,right,776,2026-03-07T04:19:43Z,NA
10,10,1,openai,gpt-4o,NA,0,512,b,NA,bottom,3874,2026-03-07T04:19:44Z,NA
11,11,1,openai,gpt-4o,NA,0,512,b,NA,lower-right,2602,2026-03-07T04:19:45Z,NA
12,12,1,openai,gpt-4o,NA,0,512,b,NA,right,2655,2026-03-07T04:19:46Z,NA
13,13,1,openai,gpt-4o,NA,0,512,equal,NA,equal,3234,2026-03-07T04:19:47Z,NA
14,14,1,openai,gpt-4o,NA,0,512,b,NA,right,1092,2026-03-07T04:19:48Z,NA
15,15,1,openai,gpt-4o,NA,0,512,b,NA,bottom,2647,2026-03-07T04:19:49Z,NA
16,16,1,openai,gpt-4o,NA,0,512,equal,NA,equal,3455,2026-03-07T04:19:50Z,NA
17,17,1,openai,gpt-4o,NA,0,512,equal,NA,equal,1954,2026-03-07T04:19:51Z,NA
18,18,1,openai,gpt-4o,NA,0,512,a,NA,upper-left,834,2026-03-07T04:19:52Z,NA
19,19,1,openai,gpt-4o,NA,0,512,a,NA,top,2117,2026-03-07T04:19:53Z,NA
